Filename,Type,Sort,Age,Sample,SampleID,Condition,Days
MZ_17_WT3B_GOLDMAN10_08162012_(Mouse430_2).CEL,WT,CD11b,12wk,16,WT_CD11b_12wk_16,CTR,84
MZ_18b_WT3C_Goldman10_08202012_(Mouse430_2).CEL,WT,Neg,12wk,16,WT_Neg_12wk_16,CTR,84
MZ_19_R64A_Goldman10_08202012_(Mouse430_2).CEL,R62,Glt1,12wk,17,R62_Glt1_12wk_17,HD,84
MZ_20_R64B_Goldman10_08202012_(Mouse430_2).CEL,R62,CD11b,12wk,17,R62_CD11b_12wk_17,HD,84
MZ_21_R64C_Goldman10_08202012_(Mouse430_2).CEL,R62,Neg,12wk,17,R62_Neg_12wk_17,HD,84
MZ_22_WT4A_Goldman10_08202012_(Mouse430_2).CEL,WT,Glt1,12wk,18,WT_Glt1_12wk_18,CTR,84
MZ_23_WT4B_Goldman10_08202012_(Mouse430_2).CEL,WT,CD11b,12wk,18,WT_CD11b_12wk_18,CTR,84
MZ_24_WT4C_Goldman10_08202012_(Mouse430_2).CEL,WT,Neg,12wk,18,WT_Neg_12wk_18,CTR,84
MZ_25_R65A_Goldman10_08202012_(Mouse430_2).CEL,R62,Glt1,12wk,19,R62_Glt1_12wk_19,HD,84
MZ_26_R65B_Goldman10_08202012_(Mouse430_2).CEL,R62,CD11b,12wk,19,R62_CD11b_12wk_19,HD,84
MZ_27_R65C_Goldman10_08202012_(Mouse430_2).CEL,R62,Neg,12wk,19,R62_Neg_12wk_19,HD,84
MZ_28_WT5A_Goldman10_08202012_(Mouse430_2).CEL,WT,Glt1,12wk,20,WT_Glt1_12wk_20,CTR,84
MZ_29_WT5B_Goldman10_08202012_(Mouse430_2).CEL,WT,CD11b,12wk,20,WT_CD11b_12wk_20,CTR,84
MZ_30_WT5C_Goldman10_08202012_(Mouse430_2).CEL,WT,Neg,12wk,20,WT_Neg_12wk_20,CTR,84
MZ_31_R66A_Goldman10_08202012_(Mouse430_2).CEL,R62,Glt1,12wk,21,R62_Glt1_12wk_21,HD,84
MZ_32_R66B_Goldman10_08202012_(Mouse430_2).CEL,R62,CD11b,12wk,21,R62_CD11b_12wk_21,HD,84
MZ_33_R66C_Goldman10_08202012_(Mouse430_2).CEL,R62,Neg,12wk,21,R62_Neg_12wk_21,HD,84
MZ_01_WT 1A_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Glt1,6mo,22,WT_Glt1_6mo_22,CTR,182
MZ_04_WT 2A_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Glt1,6mo,23,WT_Glt1_6mo_23,CTR,182
MZ_07_WT 3A_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Glt1,6mo,24,WT_Glt1_6mo_24,CTR,182
MZ_10_WT 4A_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Glt1,6mo,25,WT_Glt1_6mo_25,CTR,182
MZ_13_Q175 1A_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Glt1,6mo,26,Q175_Glt1_6mo_26,HD,182
MZ_16_Q175 2A_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Glt1,6mo,27,Q175_Glt1_6mo_27,HD,182
MZ_19_Q175 3A_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Glt1,6mo,28,Q175_Glt1_6mo_28,HD,182
MZ_22_Q175 4A_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Glt1,6mo,29,Q175_Glt1_6mo_29,HD,182
MZ_02_WT 1B_Goldman 101314_10212014_(Mouse430_2).CEL,WT,CD11b,6mo,22,WT_CD11b_6mo_22,CTR,182
MZ_05_WT 2B_Goldman 101314_10212014_(Mouse430_2).CEL,WT,CD11b,6mo,23,WT_CD11b_6mo_23,CTR,182
MZ_08_WT 3B_Goldman 101314_10212014_(Mouse430_2).CEL,WT,CD11b,6mo,24,WT_CD11b_6mo_24,CTR,182
MZ_11_WT 4B_Goldman 101314_10212014_(Mouse430_2).CEL,WT,CD11b,6mo,25,WT_CD11b_6mo_25,CTR,182
MZ_14_Q175 1B_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,CD11b,6mo,26,Q175_CD11b_6mo_26,HD,182
MZ_17_Q175 2B_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,CD11b,6mo,27,Q175_CD11b_6mo_27,HD,182
MZ_20_Q175 3B_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,CD11b,6mo,28,Q175_CD11b_6mo_28,HD,182
MZ_23_Q175 4B_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,CD11b,6mo,29,Q175_CD11b_6mo_29,HD,182
MZ_03_WT 1C_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Neg,6mo,22,WT_Neg_6mo_22,CTR,182
MZ_06_WT 2C_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Neg,6mo,23,WT_Neg_6mo_23,CTR,182
MZ_09_WT 3C_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Neg,6mo,24,WT_Neg_6mo_24,CTR,182
MZ_12_WT 4C_Goldman 101314_10212014_(Mouse430_2).CEL,WT,Neg,6mo,25,WT_Neg_6mo_25,CTR,182
MZ_15_Q175 1C_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Neg,6mo,26,Q175_Neg_6mo_26,HD,182
MZ_18_Q175 2C_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Neg,6mo,27,Q175_Neg_6mo_27,HD,182
MZ_21_Q175 3C_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Neg,6mo,28,Q175_Neg_6mo_28,HD,182
MZ_24_Q175 4C_Goldman 101314_10212014_(Mouse430_2).CEL,Q175,Neg,6mo,29,Q175_Neg_6mo_29,HD,182
MZ_B3_12M Q175 1C_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Neg,12mo,30,Q175_Neg_12mo_30,HD,365
MZ_B6_12M Q175 2C_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Neg,12mo,31,Q175_Neg_12mo_31,HD,365
MZ_B9_12M Q175 3C_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Neg,12mo,32,Q175_Neg_12mo_32,HD,365
MZ_B12_12M Q175 4C_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Neg,12mo,33,Q175_Neg_12mo_33,HD,365
MZ_A3_12M WT 1C_Goldman120114_12202014_(Mouse430_2).CEL,WT,Neg,12mo,34,WT_Neg_12mo_34,CTR,365
MZ_A6_12M WT 2C_Goldman120114_12202014_(Mouse430_2).CEL,WT,Neg,12mo,35,WT_Neg_12mo_35,CTR,365
MZ_A9_12M WT 3C_Goldman120114_12202014_(Mouse430_2).CEL,WT,Neg,12mo,36,WT_Neg_12mo_36,CTR,365
MZ_A12_12M WT 4C_Goldman120114_12202014_(Mouse430_2).CEL,WT,Neg,12mo,37,WT_Neg_12mo_37,CTR,365
MZ_B2_12M Q175 1B_Goldman120114_12202014_(Mouse430_2).CEL,Q175,CD11b,12mo,30,Q175_CD11b_12mo_30,HD,365
MZ_B5_12M Q175 2B_Goldman120114_12202014_(Mouse430_2).CEL,Q175,CD11b,12mo,31,Q175_CD11b_12mo_31,HD,365
